"","Datum","Warengruppe","Umsatz","Wochentag","KielerWoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode"
"31",2013-07-31,"Brot",144.745431773143,"Donnerstag",NA,5,20.275,16,65
"32",2013-08-01,"Brot",157.854023011106,"Dienstag",NA,6,23.4,7,21
"33",2013-08-02,"Brot",117.359342094889,"Mittwoch",NA,0,31.4375,7,NA
"34",2013-08-03,"Brot",186.027178770079,"Samstag",NA,4,23.3625,11,63
"35",2013-08-04,"Brot",104.708216687715,"Sonntag",NA,3,23.05,8,NA
"36",2013-08-05,"Brot",146.775309890073,"Freitag",NA,0,25.8,10,NA
"37",2013-08-06,"Brot",131.956277381283,"Montag",NA,5,22.225,13,NA
"38",2013-08-07,"Brot",160.593417296116,"Donnerstag",NA,4,19.2125,8,NA
"39",2013-08-08,"Brot",153.099424561652,"Dienstag",NA,7,16.975,12,20
"40",2013-08-09,"Brot",125.620344387906,"Mittwoch",NA,4,20.3375,10,21
"41",2013-08-10,"Brot",185.177162656408,"Samstag",NA,7,19.3625,12,61
"42",2013-08-11,"Brot",73.2088330039992,"Sonntag",NA,7,16.3875,9,61
"43",2013-08-12,"Brot",154.504729536697,"Freitag",NA,7,16.45,11,63
"44",2013-08-13,"Brot",134.064451548102,"Montag",NA,3,16.4,16,95
"45",2013-08-14,"Brot",156.972510536869,"Donnerstag",NA,4,18.2625,18,61
"46",2013-08-15,"Brot",164.763795399756,"Dienstag",NA,3,19.8,8,NA
"47",2013-08-16,"Brot",147.79799759804,"Mittwoch",NA,4,23.575,11,0
"48",2013-08-17,"Brot",221.630418006017,"Samstag",NA,6,20.55,7,0
"49",2013-08-18,"Brot",92.489778506026,"Sonntag",NA,7,18.5875,10,63
"50",2013-08-19,"Brot",145.87913275728,"Freitag",NA,5,18.4875,8,NA
"51",2013-08-20,"Brot",111.842396126739,"Montag",NA,7,17.775,8,61
"52",2013-08-21,"Brot",125.336522713024,"Donnerstag",NA,5,20.125,8,NA
"53",2013-08-22,"Brot",132.916428220302,"Dienstag",NA,4,21.6625,8,NA
"54",2013-08-23,"Brot",162.958958703106,"Mittwoch",NA,1,22.0375,14,NA
"55",2013-08-24,"Brot",201.543109556297,"Samstag",NA,0,20.85,16,5
"56",2013-08-25,"Brot",83.0226725739551,"Sonntag",NA,0,21.3875,16,5
"57",2013-08-26,"Brot",165.829031676714,"Freitag",NA,0,20.125,15,5
"58",2013-08-27,"Brot",118.473650434102,"Montag",NA,1,21.0875,12,NA
"59",2013-08-28,"Brot",108.876991442649,"Donnerstag",NA,0,21.3,7,NA
"60",2013-08-29,"Brot",178.178023803315,"Dienstag",NA,3,20.2125,11,NA
"61",2013-08-30,"Brot",133.150828452892,"Mittwoch",NA,6,19.7875,8,5
"62",2013-08-31,"Brot",130.821314898435,"Samstag",NA,5,18.35,16,21
"63",2013-09-01,"Brot",95.9704314892471,"Sonntag",NA,7,15.8625,16,61
"64",2013-09-02,"Brot",138.408723210465,"Freitag",NA,7,16.575,17,63
"65",2013-09-03,"Brot",138.825618927843,"Montag",NA,7,18.225,11,21
"66",2013-09-04,"Brot",100.221969526295,"Donnerstag",NA,7,18.125,5,NA
"67",2013-09-05,"Brot",173.658100347255,"Dienstag",NA,0,21.7,8,NA
"68",2013-09-06,"Brot",171.415179710314,"Mittwoch",NA,0,24.7,9,NA
"69",2013-09-07,"Brot",186.034060963767,"Samstag",NA,6,22.7625,7,NA
"70",2013-09-08,"Brot",88.8925958109828,"Sonntag",NA,7,20.1625,8,61
"71",2013-09-09,"Brot",169.359968504942,"Freitag",NA,8,11.575,11,63
"72",2013-09-10,"Brot",89.6944536084346,"Montag",NA,6,13.5875,11,65
"73",2013-09-11,"Brot",103.363686559795,"Donnerstag",NA,6,13.9,8,61
"74",2013-09-12,"Brot",106.474399987548,"Dienstag",NA,6,16.1125,6,61
"75",2013-09-13,"Brot",122.564626199915,"Mittwoch",NA,6,17.4375,5,21
"76",2013-09-14,"Brot",174.938807466572,"Samstag",NA,5,17.625,10,63
"77",2013-09-15,"Brot",55.1960062296304,"Sonntag",NA,7,14.8625,10,21
"78",2013-09-16,"Brot",146.760234890658,"Freitag",NA,3,13.1375,13,21
"79",2013-09-17,"Brot",136.118044538363,"Montag",NA,5,13.1375,10,63
"80",2013-09-18,"Brot",152.255085210606,"Donnerstag",NA,4,13.05,9,NA
"81",2013-09-19,"Brot",148.674992078993,"Dienstag",NA,5,14.8375,11,63
"82",2013-09-20,"Brot",110.159250328825,"Mittwoch",NA,7,13.525,6,NA
"83",2013-09-21,"Brot",178.263887943827,"Samstag",NA,7,15.35,9,NA
"84",2013-09-22,"Brot",86.6668973821597,"Sonntag",NA,6,17.1375,14,21
"85",2013-09-23,"Brot",111.128410563554,"Freitag",NA,7,17.3125,14,21
"86",2013-09-24,"Brot",139.64144576808,"Montag",NA,8,15.7375,10,NA
"87",2013-09-25,"Brot",117.94119333604,"Donnerstag",NA,6,13.5375,7,61
"88",2013-09-26,"Brot",203.314345156607,"Dienstag",NA,1,12.9875,12,NA
"89",2013-09-27,"Brot",135.507291692088,"Mittwoch",NA,5,13.0125,8,21
"90",2013-09-28,"Brot",134.613756840197,"Samstag",NA,0,13.1,8,NA
"91",2013-09-29,"Brot",68.6316896995448,"Sonntag",NA,3,14.175,12,NA
"92",2013-09-30,"Brot",156.502435955326,"Freitag",NA,1,12.825,14,NA
"93",2013-10-01,"Brot",123.397540137977,"Montag",NA,0,12.9125,13,5
"94",2013-10-02,"Brot",196.720969158391,"Donnerstag",NA,1,12.7,10,NA
"95",2013-10-03,"Brot",75.2337302417469,"Dienstag",NA,0,11.7625,12,5
"96",2013-10-04,"Brot",156.066122625816,"Mittwoch",NA,5,11.2,8,63
"97",2013-10-05,"Brot",152.280762053885,"Samstag",NA,7,15.575,8,20
"98",2013-10-06,"Brot",92.4805772695364,"Sonntag",NA,7,15.25,6,NA
"99",2013-10-07,"Brot",124.841544023845,"Freitag",NA,1,16.275,7,NA
"100",2013-10-08,"Brot",96.867100978839,"Montag",NA,6,15.1125,8,61
"101",2013-10-09,"Brot",149.761758936995,"Donnerstag",NA,7,14.3125,10,21
"102",2013-10-10,"Brot",119.300284972145,"Dienstag",NA,5,10.975,6,NA
"103",2013-10-11,"Brot",123.2348187168,"Mittwoch",NA,7,13.8625,20,10
"104",2013-10-12,"Brot",140.262421715801,"Samstag",NA,8,13.025,21,63
"105",2013-10-13,"Brot",42.9967926268111,"Sonntag",NA,5,10.8625,5,NA
"106",2013-10-14,"Brot",109.863744271226,"Freitag",NA,2,12.525,6,NA
"107",2013-10-15,"Brot",130.431802598324,"Montag",NA,7,10.6625,4,63
"108",2013-10-16,"Brot",146.070583461057,"Donnerstag",NA,8,12.275,7,NA
"109",2013-10-17,"Brot",89.9411837855476,"Dienstag",NA,7,12,15,65
"110",2013-10-18,"Brot",111.233698203856,"Mittwoch",NA,1,9.075,9,NA
"111",2013-10-19,"Brot",121.590860465012,"Samstag",NA,7,9.45,9,NA
"112",2013-10-20,"Brot",70.1419855298474,"Sonntag",NA,7,15.1875,8,21
"113",2013-10-21,"Brot",122.987868193302,"Freitag",NA,7,14.2625,8,61
"114",2013-10-22,"Brot",111.927088663048,"Montag",NA,2,17.6375,7,NA
"115",2013-10-23,"Brot",125.816016210178,"Donnerstag",NA,6,17.675,9,NA
"116",2013-10-24,"Brot",123.163406361057,"Dienstag",NA,5,12.6875,12,61
"117",2013-10-25,"Brot",113.661858634409,"Mittwoch",NA,7,11.8875,7,61
"118",2013-10-26,"Brot",161.678805315967,"Samstag",NA,5,16.775,10,21
"119",2013-10-27,"Brot",102.355195816072,"Sonntag",NA,6,14.9875,16,65
"120",2013-10-28,"Brot",129.482192717092,"Freitag",NA,7,14.3625,29,63
"121",2013-10-29,"Brot",112.285893935052,"Montag",NA,7,10.775,17,63
"122",2013-10-30,"Brot",121.506077008915,"Donnerstag",NA,6,10.4375,10,61
"123",2013-10-31,"Brot",133.723541287582,"Dienstag",NA,5,11.1625,13,21
"124",2013-11-01,"Brot",100.182160485504,"Mittwoch",NA,8,10.625,9,63
"125",2013-11-02,"Brot",149.172348030766,"Samstag",NA,8,8.8875,3,63
"126",2013-11-03,"Brot",97.4532740046654,"Sonntag",NA,6,10.7,15,21
"127",2013-11-04,"Brot",137.864260444157,"Freitag",NA,7,6.8375,7,63
"128",2013-11-05,"Brot",103.700267261952,"Montag",NA,4,8.9,12,61
"129",2013-11-06,"Brot",109.097001107423,"Donnerstag",NA,4,8.1375,12,63
"130",2013-11-07,"Brot",118.470603286455,"Dienstag",NA,6,9.5,10,61
"131",2013-11-08,"Brot",132.796244239256,"Mittwoch",NA,3,9.325,9,NA
"132",2013-11-09,"Brot",99.9317959514759,"Samstag",NA,5,7.7,16,63
"133",2013-11-10,"Brot",108.561660295105,"Sonntag",NA,2,6.9875,12,63
"134",2013-11-11,"Brot",124.580485617569,"Freitag",NA,2,8.3125,5,NA
"135",2013-11-12,"Brot",111.970870543294,"Montag",NA,7,5.9375,9,61
"136",2013-11-13,"Brot",78.0382483442215,"Donnerstag",NA,1,8.8,12,0
"137",2013-11-14,"Brot",121.180219705286,"Dienstag",NA,5,6.9375,9,21
"138",2013-11-15,"Brot",122.76929773359,"Mittwoch",NA,7,6.45,6,21
"139",2013-11-16,"Brot",126.793397398979,"Samstag",NA,8,8.875,12,NA
"140",2013-11-17,"Brot",74.3945185864517,"Sonntag",NA,2,8.8875,8,0
"141",2013-11-18,"Brot",129.109032642028,"Freitag",NA,7,6.65,5,63
"142",2013-11-19,"Brot",106.906118646237,"Montag",NA,8,5.8375,8,61
"143",2013-11-20,"Brot",124.324612351715,"Donnerstag",NA,6,3.85,6,NA
"144",2013-11-21,"Brot",144.359927455555,"Dienstag",NA,2,3.275,8,10
"145",2013-11-22,"Brot",107.962731413831,"Mittwoch",NA,7,5.375,10,21
"146",2013-11-23,"Brot",96.5196766761341,"Samstag",NA,3,4.9125,6,NA
"147",2013-11-24,"Brot",76.4120061231823,"Sonntag",NA,0,4.6,16,NA
"148",2013-11-25,"Brot",129.81992805086,"Freitag",NA,0,3.7,10,NA
"149",2013-11-26,"Brot",123.431703158233,"Montag",NA,2,2.3125,6,NA
"150",2013-11-27,"Brot",93.5321454303922,"Donnerstag",NA,8,7.3125,12,61
"151",2013-11-28,"Brot",128.842426194061,"Dienstag",NA,2,8.025,18,NA
"152",2013-11-29,"Brot",104.966463375073,"Mittwoch",NA,8,5.9875,11,63
"153",2013-11-30,"Brot",104.09003869481,"Samstag",NA,7,5.525,10,20
"154",2013-12-01,"Brot",68.0762231823542,"Sonntag",NA,5,8.6625,20,61
"155",2013-12-02,"Brot",113.931498716313,"Freitag",NA,0,3.0625,4,10
"156",2013-12-03,"Brot",94.7658652080226,"Montag",NA,8,1.7125,6,28
"157",2013-12-04,"Brot",128.922855106228,"Donnerstag",NA,7,5.85,11,63
"158",2013-12-05,"Brot",120.974699669869,"Dienstag",NA,7,4.4625,24,63
"159",2013-12-06,"Brot",112.015650593347,"Mittwoch",NA,6,1.7875,25,73
"160",2013-12-07,"Brot",121.408564819885,"Samstag",NA,5,1,11,22
"161",2013-12-08,"Brot",36.2650169585334,"Sonntag",NA,8,6.975,16,63
"162",2013-12-09,"Brot",134.680550018524,"Freitag",NA,7,9.2375,10,45
"163",2013-12-10,"Brot",104.352034970751,"Montag",NA,7,7.1875,8,61
"164",2013-12-11,"Brot",85.9079819233536,"Donnerstag",NA,7,5.025,9,10
"165",2013-12-12,"Brot",88.2075449690532,"Dienstag",NA,8,2.525,8,28
"166",2013-12-13,"Brot",85.5324935340658,"Mittwoch",NA,7,3.5375,6,61
"167",2013-12-14,"Brot",120.787742012371,"Samstag",NA,7,3.0125,7,61
"168",2013-12-15,"Brot",71.5352172710921,"Sonntag",NA,8,7.925,12,61
"169",2013-12-16,"Brot",120.791211521354,"Freitag",NA,8,8.775,12,NA
"170",2013-12-17,"Brot",74.6283250889016,"Montag",NA,8,4.95,8,61
"171",2013-12-18,"Brot",86.4115250991858,"Donnerstag",NA,7,6.85,8,10
"172",2013-12-19,"Brot",101.589644453608,"Dienstag",NA,7,7.4,10,63
"173",2013-12-20,"Brot",114.601001275823,"Mittwoch",NA,7,5.2875,10,61
"174",2013-12-21,"Brot",124.541759682586,"Samstag",NA,8,6.5625,13,63
"175",2013-12-22,"Brot",41.7300439888931,"Sonntag",NA,7,8.1375,12,61
"176",2013-12-23,"Brot",183.608991270752,"Freitag",NA,3,5.4875,10,NA
"177",2013-12-24,"Brot",220.330670230618,"Montag",NA,7,11.4375,18,61
"178",2013-12-27,"Brot",152.367434643543,"Mittwoch",NA,7,5.7625,15,63
"179",2013-12-29,"Brot",131.267289010755,"Sonntag",NA,7,5.7125,9,63
"180",2013-12-30,"Brot",126.58984459848,"Freitag",NA,4,4.75,11,10
"181",2013-12-31,"Brot",211.390838466052,"Montag",NA,4,5.0375,7,NA
"182",2014-01-02,"Brot",153.166492227541,"Dienstag",NA,7,6.25,9,63
"183",2014-01-03,"Brot",109.484763536521,"Mittwoch",NA,7,6.8375,10,63
"184",2014-01-04,"Brot",116.250540066432,"Samstag",NA,5,6.9375,11,NA
"185",2014-01-05,"Brot",67.7899909491401,"Sonntag",NA,7,6.1875,11,63
"186",2014-01-06,"Brot",146.911067784297,"Freitag",NA,7,7.9125,11,65
"187",2014-01-07,"Brot",147.5457609484,"Montag",NA,7,10.4375,13,NA
"188",2014-01-08,"Brot",99.9068767897401,"Donnerstag",NA,7,8.6375,15,63
"189",2014-01-09,"Brot",113.541525918277,"Dienstag",NA,7,9.6125,16,61
"190",2014-01-10,"Brot",119.05554059635,"Mittwoch",NA,7,6.6375,17,61
"191",2014-01-11,"Brot",127.95986526115,"Samstag",NA,7,5.5875,18,63
"192",2014-01-12,"Brot",83.4017498521773,"Sonntag",NA,2,5.525,16,21
"193",2014-01-13,"Brot",103.994034974792,"Freitag",NA,8,3.1375,10,69
"194",2014-01-14,"Brot",166.347532764571,"Montag",NA,6,4.225,6,28
"195",2014-01-15,"Brot",139.042567223334,"Donnerstag",NA,7,3.228571,7,28
"196",2014-01-16,"Brot",117.779119691395,"Dienstag",NA,8,2.7375,9,63
"197",2014-01-17,"Brot",94.7938386484339,"Mittwoch",NA,7,6.7375,4,61
"198",2014-01-18,"Brot",102.633649837911,"Samstag",NA,7,5.8875,8,61
"199",2014-01-19,"Brot",53.0014671833047,"Sonntag",NA,7,2.8625,19,10
"200",2014-01-20,"Brot",99.6819363621683,"Freitag",NA,8,0.3875,13,61
"201",2014-01-21,"Brot",116.784600007305,"Montag",NA,7,-0.65,7,77
"202",2014-01-22,"Brot",102.344424741026,"Donnerstag",NA,8,-3.1125,14,22
"203",2014-01-23,"Brot",105.740276056438,"Dienstag",NA,8,-3.1875,11,22
"204",2014-01-24,"Brot",143.164448746188,"Mittwoch",NA,2,-5.1625,13,10
"205",2014-01-25,"Brot",129.09233380561,"Samstag",NA,5,-7.0375,8,NA
"206",2014-01-26,"Brot",65.4883238458282,"Sonntag",NA,1,-8.475,10,10
"207",2014-01-27,"Brot",177.797639286942,"Freitag",NA,5,0.7,9,69
"208",2014-01-28,"Brot",63.9844736113181,"Montag",NA,7,-0.2625,10,10
"209",2014-01-29,"Brot",75.1156293987916,"Donnerstag",NA,7,-5.05,13,77
"210",2014-01-30,"Brot",140.794194214435,"Dienstag",NA,7,-4.4875,8,77
"211",2014-01-31,"Brot",133.303478983532,"Mittwoch",NA,8,-3.6875,7,10
"212",2014-02-01,"Brot",101.932146850505,"Samstag",NA,7,3.225,10,63
"213",2014-02-02,"Brot",76.7574943519772,"Sonntag",NA,0,5.4875,8,NA
"214",2014-02-03,"Brot",154.323103655617,"Freitag",NA,1,3.475,8,10
"215",2014-02-04,"Brot",130.284962020954,"Montag",NA,5,3.925,6,10
"216",2014-02-05,"Brot",128.512982776585,"Donnerstag",NA,4,3.675,8,10
"217",2014-02-06,"Brot",93.2145715747619,"Dienstag",NA,7,7.875,11,20
"218",2014-02-07,"Brot",99.7607356052368,"Mittwoch",NA,7,8.475,15,63
"219",2014-02-08,"Brot",120.862739831777,"Samstag",NA,7,6.2875,12,61
"220",2014-02-09,"Brot",57.0074894928223,"Sonntag",NA,5,6.7125,15,63
"221",2014-02-10,"Brot",154.183743327497,"Freitag",NA,2,6.6375,9,NA
"222",2014-02-11,"Brot",93.6050031862626,"Montag",NA,7,4.925,12,61
"223",2014-02-12,"Brot",165.738384661521,"Donnerstag",NA,4,6.1,13,10
"224",2014-02-13,"Brot",112.481302733138,"Dienstag",NA,5,7.45,13,NA
"225",2014-02-14,"Brot",127.922310495651,"Mittwoch",NA,5,5.2125,9,10
"226",2014-02-15,"Brot",169.517528839106,"Samstag",NA,5,11.5,15,NA
"227",2014-02-16,"Brot",66.1488570531461,"Sonntag",NA,7,6.0625,17,63
"228",2014-02-17,"Brot",139.563931976797,"Freitag",NA,0,6.6875,9,NA
"229",2014-02-18,"Brot",101.128808084497,"Montag",NA,7,7.8,8,10
"230",2014-02-19,"Brot",139.712963296062,"Donnerstag",NA,7,6.325,8,61
"231",2014-02-20,"Brot",115.493305434483,"Dienstag",NA,6,9.1,11,10
"232",2014-02-21,"Brot",195.749507104036,"Mittwoch",NA,7,7.5125,11,61
"233",2014-02-22,"Brot",138.333592943018,"Samstag",NA,7,5.925,11,21
"234",2014-02-23,"Brot",79.4422222430818,"Sonntag",NA,1,8.625,12,NA
"235",2014-02-24,"Brot",152.556733984074,"Freitag",NA,1,9.4125,11,NA
"236",2014-02-25,"Brot",115.741936459404,"Montag",NA,1,10.475,7,NA
"237",2014-02-26,"Brot",95.0173566075507,"Donnerstag",NA,5,10.1875,8,NA
"238",2014-02-27,"Brot",142.599019478366,"Dienstag",NA,1,8.8875,7,10
"239",2014-02-28,"Brot",121.868073185287,"Mittwoch",NA,7,6.1875,6,61
"240",2014-03-01,"Brot",140.96854447309,"Samstag",NA,2,5.075,9,10
"241",2014-03-02,"Brot",78.304687930775,"Sonntag",NA,6,6.5625,9,10
"242",2014-03-03,"Brot",123.816845981151,"Freitag",NA,0,9.1875,10,5
"243",2014-03-04,"Brot",110.664379295042,"Montag",NA,7,6.6875,7,10
"244",2014-03-05,"Brot",104.010771805795,"Donnerstag",NA,7,4.6875,7,28
"245",2014-03-06,"Brot",119.64957040592,"Dienstag",NA,3,8.925,9,10
"246",2014-03-07,"Brot",115.297355656246,"Mittwoch",NA,6,11.275,10,5
"247",2014-03-08,"Brot",116.679903321343,"Samstag",NA,0,9.9375,6,NA
"248",2014-03-09,"Brot",92.618539664325,"Sonntag",NA,0,16.4,9,NA
"249",2014-03-10,"Brot",150.516891177572,"Freitag",NA,0,15.8,9,NA
"250",2014-03-11,"Brot",151.221168841794,"Montag",NA,0,7.85,9,NA
"251",2014-03-12,"Brot",91.0474158512995,"Donnerstag",NA,0,10.2125,8,0
"252",2014-03-13,"Brot",141.400369720196,"Dienstag",NA,0,13.375,10,NA
"253",2014-03-14,"Brot",123.912083680615,"Mittwoch",NA,1,9.6125,10,NA
"254",2014-03-15,"Brot",137.683942432828,"Samstag",NA,4,9.0375,27,NA
"255",2014-03-16,"Brot",67.1675793738149,"Sonntag",NA,7,9.3375,24,61
"256",2014-03-17,"Brot",141.547905542998,"Freitag",NA,7,9.5875,18,61
"257",2014-03-18,"Brot",88.2250444509535,"Montag",NA,7,9.6875,16,21
"258",2014-03-19,"Brot",99.6845823880711,"Donnerstag",NA,7,9.45,18,61
"259",2014-03-20,"Brot",128.138232106811,"Dienstag",NA,0,16.2625,13,NA
"260",2014-03-21,"Brot",104.8547456835,"Mittwoch",NA,7,6.8875,14,63
"261",2014-03-22,"Brot",130.851901605861,"Samstag",NA,5,8.85,11,63
"262",2014-03-23,"Brot",71.128447822127,"Sonntag",NA,4,8.3625,10,NA
"263",2014-03-24,"Brot",174.642338237835,"Freitag",NA,3,7.5625,7,NA
"264",2014-03-25,"Brot",130.828394911681,"Montag",NA,2,7.725,10,21
"265",2014-03-26,"Brot",164.073709880608,"Donnerstag",NA,5,7.85,11,21
"266",2014-03-27,"Brot",217.595707302914,"Dienstag",NA,6,5.1,12,NA
"267",2014-03-28,"Brot",210.364589078685,"Mittwoch",NA,8,5.4,12,10
"268",2014-03-29,"Brot",201.442576014825,"Samstag",NA,3,9.375,8,10
"269",2014-03-30,"Brot",77.0718729480323,"Sonntag",NA,0,11.2625,8,28
"270",2014-03-31,"Brot",165.782083579859,"Freitag",NA,7,7.4375,4,45
"271",2014-04-01,"Brot",143.934571968464,"Montag",NA,8,5.7625,13,10
"272",2014-04-02,"Brot",145.793768476637,"Donnerstag",NA,2,12.45,8,10
"273",2014-04-03,"Brot",199.334213779063,"Dienstag",NA,3,7.6125,15,10
"274",2014-04-04,"Brot",149.094869799179,"Mittwoch",NA,6,6.45,15,0
"275",2014-04-05,"Brot",166.366651532902,"Samstag",NA,8,9.825,5,61
"276",2014-04-06,"Brot",79.4656989548114,"Sonntag",NA,7,12.1875,8,63
"277",2014-04-07,"Brot",175.863088463562,"Freitag",NA,7,15.7875,10,63
"278",2014-04-08,"Brot",104.711261779938,"Montag",NA,7,9.8125,19,61
"279",2014-04-09,"Brot",168.945582350845,"Donnerstag",NA,7,10.1875,20,21
"280",2014-04-10,"Brot",153.689913112803,"Dienstag",NA,7,9.75,4,NA
"281",2014-04-11,"Brot",150.197974521935,"Mittwoch",NA,6,12.0625,10,NA
"282",2014-04-12,"Brot",230.41912840806,"Samstag",NA,4,11.2,12,0
"283",2014-04-13,"Brot",106.9717520005,"Sonntag",NA,6,11.0125,21,NA
"284",2014-04-14,"Brot",126.41212420811,"Freitag",NA,5,8.9,23,61
"285",2014-04-15,"Brot",109.472548649702,"Montag",NA,0,9.9125,15,NA
"286",2014-04-16,"Brot",110.647041867212,"Donnerstag",NA,0,11.3625,9,NA
"287",2014-04-17,"Brot",259.250121969818,"Dienstag",NA,5,14.4,14,NA
"288",2014-04-19,"Brot",290.428956680919,"Samstag",NA,1,11.125,13,5
"289",2014-04-20,"Brot",57.7509189177541,"Sonntag",NA,0,13.875,15,5
"290",2014-04-21,"Brot",109.431179378053,"Freitag",NA,4,13.425,15,0
"291",2014-04-22,"Brot",169.196248011103,"Montag",NA,3,15.45,10,10
"292",2014-04-23,"Brot",162.980101956576,"Donnerstag",NA,8,9.825,11,21
"293",2014-04-24,"Brot",155.338780558714,"Dienstag",NA,8,9.175,11,NA
"294",2014-04-25,"Brot",103.620395874603,"Mittwoch",NA,0,13.5625,12,NA
"295",2014-04-26,"Brot",143.988134045973,"Samstag",NA,0,15.45,11,NA
"296",2014-04-27,"Brot",67.5791269771508,"Sonntag",NA,0,16.225,16,NA
"297",2014-04-28,"Brot",142.899118015523,"Freitag",NA,0,15.8875,11,NA
"298",2014-04-29,"Brot",145.382373304754,"Montag",NA,0,18.0875,8,0
"299",2014-04-30,"Brot",168.447583367336,"Donnerstag",NA,3,18,8,NA
"300",2014-05-02,"Brot",194.877300541007,"Mittwoch",NA,6,10.225,13,NA
"301",2014-05-05,"Brot",344.712427419033,"Freitag",NA,8,10.7125,6,21
"302",2014-05-06,"Brot",117.634364611904,"Montag",NA,7,15.775,9,NA
"303",2014-05-07,"Brot",90.0459392081919,"Donnerstag",NA,4,14.2125,15,65
"304",2014-05-08,"Brot",149.299133313087,"Dienstag",NA,7,12.45,10,63
"305",2014-05-09,"Brot",93.4116822522153,"Mittwoch",NA,6,12.3875,10,61
"306",2014-05-10,"Brot",123.724674602317,"Samstag",NA,7,13.275,12,61
"307",2014-05-11,"Brot",61.0065824620734,"Sonntag",NA,7,11.5625,12,63
"308",2014-05-12,"Brot",117.63724487723,"Freitag",NA,7,12.7,14,63
"309",2014-05-13,"Brot",140.036281903001,"Montag",NA,7,11.5625,15,21
"310",2014-05-14,"Brot",107.299783874075,"Donnerstag",NA,7,11.5625,16,NA
"311",2014-05-15,"Brot",123.833393024816,"Dienstag",NA,2,13.7875,8,NA
"312",2014-05-16,"Brot",182.247331664509,"Mittwoch",NA,5,13.8875,9,NA
"313",2014-05-17,"Brot",128.405482365147,"Samstag",NA,0,16.625,8,0
"314",2014-05-18,"Brot",94.9265718873585,"Sonntag",NA,4,16.5125,13,NA
"315",2014-05-19,"Brot",108.184039506908,"Freitag",NA,6,13.7625,8,61
"316",2014-05-20,"Brot",112.779561925048,"Montag",NA,0,20.725,12,NA
"317",2014-05-21,"Brot",123.754439846218,"Donnerstag",NA,2,26.8625,8,NA
"318",2014-05-22,"Brot",116.368035292474,"Dienstag",NA,0,26.375,8,NA
"319",2014-05-23,"Brot",129.753386763715,"Mittwoch",NA,7,18.0125,12,65
"320",2014-05-24,"Brot",117.223121200496,"Samstag",NA,2,17.9625,8,NA
"321",2014-05-25,"Brot",85.7502216285052,"Sonntag",NA,2,20.4625,11,NA
"322",2014-05-26,"Brot",117.265384467109,"Freitag",NA,0,19.9625,13,NA
"323",2014-05-27,"Brot",114.85034360851,"Montag",NA,7,12.8875,21,21
"324",2014-05-28,"Brot",190.55318445032,"Donnerstag",NA,7,10.2,22,21
